web-scraper-order,web-scraper-start-url,cars,cars-href,price,carburant,Ville,group one,boite,puissance
"1679933148-1","https://www.avito.ma/fr/maroc/voitures-%C3%A0_vendre?o=100&price_min=0","Camera Icon8210 000 DHtiguan Rline 7ora Voitures d'occasionTimeFill Iconil y a 2 joursMapPinFill IconFquih Ben Saleh","https://www.avito.ma/fr/fquih_ben_saleh/voitures/tiguan_Rline_7ora__52620102.htm","210 000 DH","8 CV","Fquih Ben Saleh","[{""group one"":""Type""},{""group one"":""Voitures d'occasion, à vendre""},{""group one"":""Modèle""},{""group one"":""Tiguan""},{""group one"":""Marque""},{""group one"":""Volkswagen""},{""group one"":""Kilométrage""},{""group one"":""190 000 - 199 999""},{""group one"":""Origine""},{""group one"":""Dédouanée""},{""group one"":""Année-Modèle""},{""group one"":""2012""}]","8 CV","Diesel"
"1679933151-2","https://www.avito.ma/fr/maroc/voitures-%C3%A0_vendre?o=100&price_min=0","Camera Icon855 000 DHMercedes 190Voitures d'occasionTimeFill Iconil y a 2 joursMapPinFill IconDakhla","https://www.avito.ma/fr/dakhla/voitures/Mercedes_190_52620109.htm","55 000 DH","8 CV","Dakhla","[{""group one"":""Type""},{""group one"":""Voitures d'occasion, à vendre""},{""group one"":""Kilométrage""},{""group one"":""250 000 - 299 999""},{""group one"":""Année-Modèle""},{""group one"":""2005""},{""group one"":""Modèle""},{""group one"":""190""},{""group one"":""Marque""},{""group one"":""Mercedes-Benz""},{""group one"":""État""},{""group one"":""Très bon""},{""group one"":""Première main""},{""group one"":""Non""},{""group one"":""Nombre de portes""},{""group one"":""5""},{""group one"":""Origine""},{""group one"":""Dédouanée""}]","8 CV","Manuelle"
"1679933154-3","https://www.avito.ma/fr/maroc/voitures-%C3%A0_vendre?o=100&price_min=0","Camera Icon587 000 DHdaciaVoitures d'occasionTimeFill Iconil y a 2 joursMapPinFill IconOuled Teïma","https://www.avito.ma/fr/ouled_teima/voitures/dacia_52620123.htm","87 000 DH","Diesel","Ouled Teïma","[{""group one"":""Type""},{""group one"":""Voitures d'occasion, à vendre""},{""group one"":""Modèle""},{""group one"":""Lodgy""},{""group one"":""Nombre de portes""},{""group one"":""5""},{""group one"":""État""},{""group one"":""Très bon""},{""group one"":""Année-Modèle""},{""group one"":""2012""},{""group one"":""Kilométrage""},{""group one"":""0 - 4 999""},{""group one"":""Marque""},{""group one"":""Dacia""},{""group one"":""Origine""},{""group one"":""WW au Maroc""},{""group one"":""Première main""},{""group one"":""Oui""}]","Diesel","6 CV"
"1679933157-4","https://www.avito.ma/fr/maroc/voitures-%C3%A0_vendre?o=100&price_min=0","Camera Icon254 000 DHMadza 2 Essence en Bon Etat Voitures d'occasionTimeFill Iconil y a 2 joursMapPinFill IconEl Jadida, Centre","https://www.avito.ma/fr/centre/voitures/Madza_2_Essence_en_Bon_Etat__47158315.htm","54 000 DH","8 CV","El Jadida","[{""group one"":""Type""},{""group one"":""Voitures d'occasion, à vendre""},{""group one"":""Secteur""},{""group one"":""Centre""},{""group one"":""Première main""},{""group one"":""Oui""},{""group one"":""Origine""},{""group one"":""WW au Maroc""},{""group one"":""Nombre de portes""},{""group one"":""5""},{""group one"":""Modèle""},{""group one"":""2""},{""group one"":""Kilométrage""},{""group one"":""120 000 - 129 999""},{""group one"":""État""},{""group one"":""Excellent""},{""group one"":""Année-Modèle""},{""group one"":""2008""},{""group one"":""Marque""},{""group one"":""Mazda""}]","8 CV","Manuelle"
"1679933160-5","https://www.avito.ma/fr/maroc/voitures-%C3%A0_vendre?o=100&price_min=0","Camera Icon8159 000 DHRenault kadjar Voitures d'occasionTimeFill Iconil y a 2 joursMapPinFill IconCasablanca, Centre Ville","https://www.avito.ma/fr/centre_ville/voitures/Renault_kadjar__52344168.htm","159 000 DH","6 CV","Casablanca","[{""group one"":""Type""},{""group one"":""Voitures d'occasion, à vendre""},{""group one"":""Secteur""},{""group one"":""Centre Ville""},{""group one"":""Modèle""},{""group one"":""Kadjar""},{""group one"":""Année-Modèle""},{""group one"":""2016""},{""group one"":""État""},{""group one"":""Excellent""},{""group one"":""Nombre de portes""},{""group one"":""5""},{""group one"":""Marque""},{""group one"":""Renault""},{""group one"":""Kilométrage""},{""group one"":""80 000 - 84 999""},{""group one"":""Origine""},{""group one"":""WW au Maroc""},{""group one"":""Première main""},{""group one"":""Oui""}]","6 CV","Manuelle"
"1679933162-6","https://www.avito.ma/fr/maroc/voitures-%C3%A0_vendre?o=100&price_min=0","Camera Icon7102 000 DHDacia Dokker 1mVoitures d'occasionTimeFill Iconil y a 2 joursMapPinFill IconCasablanca","https://www.avito.ma/fr/casablanca/voitures/Dacia_Dokker_1m_52620140.htm","102 000 DH","6 CV","Casablanca","[{""group one"":""Type""},{""group one"":""Voitures d'occasion, à vendre""},{""group one"":""Modèle""},{""group one"":""Dokker""},{""group one"":""État""},{""group one"":""Très bon""},{""group one"":""Année-Modèle""},{""group one"":""2017""},{""group one"":""Nombre de portes""},{""group one"":""5""},{""group one"":""Première main""},{""group one"":""Oui""},{""group one"":""Marque""},{""group one"":""Dacia""},{""group one"":""Kilométrage""},{""group one"":""100 000 - 109 999""},{""group one"":""Origine""},{""group one"":""WW au Maroc""}]","6 CV","Manuelle"
"1679933169-7","https://www.avito.ma/fr/maroc/voitures-%C3%A0_vendre?o=100&price_min=0","Camera Icon8127 000 DHFord Fiesta titanium Voitures d'occasionTimeFill Iconil y a 2 joursMapPinFill IconSalé","https://www.avito.ma/fr/sal%C3%A9/voitures/Ford_Fiesta_titanium__52620150.htm","127 000 DH","Diesel","Salé","[{""group one"":""Type""},{""group one"":""Voitures d'occasion, à vendre""},{""group one"":""Modèle""},{""group one"":""Fiesta""},{""group one"":""Kilométrage""},{""group one"":""110 000 - 119 999""},{""group one"":""Année-Modèle""},{""group one"":""2017""},{""group one"":""Marque""},{""group one"":""Ford""}]","Diesel","null"
"1679933171-8","https://www.avito.ma/fr/maroc/voitures-%C3%A0_vendre?o=100&price_min=0","Camera Icon7106 000 DHDacia Duster diesel toutes options Voitures d'occasionTimeFill Iconil y a 2 joursMapPinFill IconCasablanca, Aïn Sebaâ","https://www.avito.ma/fr/ain_sebaa/voitures/Dacia_Duster_diesel_toutes_options__52620149.htm","106 000 DH","6 CV","Casablanca","[{""group one"":""Type""},{""group one"":""Voitures d'occasion, à vendre""},{""group one"":""Secteur""},{""group one"":""Aïn Sebaâ""},{""group one"":""Modèle""},{""group one"":""Duster""},{""group one"":""État""},{""group one"":""Très bon""},{""group one"":""Nombre de portes""},{""group one"":""5""},{""group one"":""Année-Modèle""},{""group one"":""2015""},{""group one"":""Origine""},{""group one"":""WW au Maroc""},{""group one"":""Marque""},{""group one"":""Dacia""},{""group one"":""Kilométrage""},{""group one"":""140 000 - 149 999""}]","6 CV","Manuelle"
"1679933174-9","https://www.avito.ma/fr/maroc/voitures-%C3%A0_vendre?o=100&price_min=0","Camera Icon8120 000 DHcitroen C-ElyséeVoitures d'occasionTimeFill Iconil y a 2 joursMapPinFill IconFès","https://www.avito.ma/fr/f%C3%A8s/voitures/citroen_C_Elys%C3%A9e_52620153.htm","120 000 DH","Manuelle","Fès","[{""group one"":""Type""},{""group one"":""Voitures d'occasion, à vendre""},{""group one"":""Modèle""},{""group one"":""C-Elysée""},{""group one"":""Première main""},{""group one"":""Non""},{""group one"":""Année-Modèle""},{""group one"":""2021""},{""group one"":""Nombre de portes""},{""group one"":""5""},{""group one"":""Kilométrage""},{""group one"":""35 000 - 39 999""},{""group one"":""Marque""},{""group one"":""Citroen""},{""group one"":""Origine""},{""group one"":""WW au Maroc""},{""group one"":""État""},{""group one"":""6""}]","Manuelle","null"
"1679933176-10","https://www.avito.ma/fr/maroc/voitures-%C3%A0_vendre?o=100&price_min=0","Camera Icon8159 000 DHPorsche Cayenne reprise OKVoitures d'occasionTimeFill Iconil y a 2 joursMapPinFill IconFès","https://www.avito.ma/fr/f%C3%A8s/voitures/Porsche_Cayenne_reprise_OK_51157550.htm","159 000 DH","12 CV","Fès","[{""group one"":""Type""},{""group one"":""Voitures d'occasion, à vendre""},{""group one"":""Modèle""},{""group one"":""Cayenne""},{""group one"":""Kilométrage""},{""group one"":""120 000 - 129 999""},{""group one"":""Année-Modèle""},{""group one"":""2010""},{""group one"":""Nombre de portes""},{""group one"":""5""},{""group one"":""Marque""},{""group one"":""Porsche""},{""group one"":""Origine""},{""group one"":""WW au Maroc""},{""group one"":""Première main""},{""group one"":""Oui""}]","12 CV","Diesel"
