Modèle,État,Année-Modèle,Marque,Origine,Kilométrage,Première main,Nombre de portes,carburant,Ville,boite,puissance,price
Tiguan,,2012,Volkswagen,Dédouanée,194999.5,,,Diesel,Fquih Ben Saleh,,8 CV,210000.0
190,Très bon,2005,Mercedes-Benz,Dédouanée,274999.5,Non,5,,Dakhla,Manuelle,8 CV,55000.0
Lodgy,Très bon,2012,Dacia,WW au Maroc,2499.5,Oui,5,Diesel,Ouled Teïma,,6 CV,87000.0
2,Excellent,2008,Mazda,WW au Maroc,124999.5,Oui,5,,El Jadida,Manuelle,8 CV,54000.0
Kadjar,Excellent,2016,Renault,WW au Maroc,82499.5,Oui,5,,Casablanca,Manuelle,6 CV,159000.0
Dokker,Très bon,2017,Dacia,WW au Maroc,104999.5,Oui,5,,Casablanca,Manuelle,6 CV,102000.0
Fiesta,,2017,Ford,,114999.5,,,Diesel,Salé,nan,,127000.0
Duster,Très bon,2015,Dacia,WW au Maroc,144999.5,,5,,Casablanca,Manuelle,6 CV,106000.0
C-Elysée,6,2021,Citroen,WW au Maroc,37499.5,Non,5,nan,Fès,Manuelle,,120000.0
Cayenne,,2010,Porsche,WW au Maroc,124999.5,Oui,5,Diesel,Fès,,12 CV,159000.0
Kuga,Très bon,2014,Ford,WW au Maroc,134999.5,Oui,5,Diesel,Fès,,8 CV,139000.0
Logan,Très bon,2019,Dacia,WW au Maroc,62499.5,Oui,5,Diesel,Fès,Manuelle,,95000.0
i 10,Excellent,2013,Hyundai,WW au Maroc,194999.5,Non,5,,Casablanca,Manuelle,6 CV,65000.0
A6,,2014,Audi,,274999.5,,,Diesel,Casablanca,Automatique,,185000.0
220,,2013,Mercedes-Benz,Dédouanée,194999.5,,,Diesel,Khouribga,,9 CV,179000.0
Berlingo,Bon,2012,Citroen,WW au Maroc,114999.5,Oui,5,Diesel,Missour,Manuelle,,100000.0
208,Très bon,2018,Peugeot,WW au Maroc,2499.5,Oui,5,Diesel,Fès,,6 CV,108000.0
Duster,Très bon,2018,Dacia,WW au Maroc,154999.5,Non,5,,Fès,Manuelle,6 CV,128000.0
Focus,6,2015,Ford,WW au Maroc,97499.5,Non,5,,Fès,Manuelle,6 CV,138000.0
Partner,Excellent,2004,Peugeot,WW au Maroc,2499.5,Non,5,,Casablanca,Manuelle,6 CV,45000.0
Swift,,2007,Suzuki,,2499.5,,5,,Casablanca,Manuelle,7 CV,52000.0
GOLF 7,Excellent,2013,Volkswagen,WW au Maroc,97499.5,,5,,Casablanca,Manuelle,8 CV,142000.0
Swift,Excellent,2014,Suzuki,WW au Maroc,184999.5,,5,,Marrakech,Manuelle,7 CV,75000.0
Clio,Excellent,2015,Renault,WW au Maroc,52499.5,Oui,5,,Casablanca,Manuelle,6 CV,112000.0
Kangoo,,2010,Renault,WW au Maroc,154999.5,Oui,,,Fès,Manuelle,6 CV,84000.0
GOLF 7,,2015,Volkswagen,Dédouanée,114999.5,Oui,,,Fès,Automatique,8 CV,247000.0
207,Correct,2012,Peugeot,WW au Maroc,114999.5,,,Essence,Fès,Manuelle,,63498.0
Focus,Très bon,2016,Ford,,97499.5,,,Diesel,Casablanca,,6 CV,142000.0
a5_sportback,Excellent,2017,Audi,Importée neuve,194999.5,Non,5,Diesel,Casablanca,,8 CV,380000.0
sandero_stepway,Bon,2014,Dacia,WW au Maroc,12499.5,Non,5,Diesel,Tanger,Manuelle,,95000.0
FREEMONT,Excellent,2014,Fiat,WW au Maroc,97499.5,Oui,5,Diesel,Casablanca,Automatique,,129999.0
megane_4,Très bon,2018,Renault,WW au Maroc,62499.5,,5,Diesel,Casablanca,,8 CV,148000.0
Korando,Très bon,2016,Ssangyong,WW au Maroc,134999.5,,5,Diesel,Marrakech,Automatique,,120000.0
GOLF 7,Excellent,2020,Volkswagen,WW au Maroc,124999.5,,5,,Casablanca,Automatique,8 CV,198000.0
Q7,Très bon,2014,Audi,Dédouanée,154999.5,Oui,5,,Casablanca,Automatique,17 CV,75000.0
Megane 3,Bon,2015,Renault,WW au Maroc,194999.5,Non,5,Diesel,Rabat,Manuelle,,110000.0
Actyon,Très bon,2008,Ssangyong,WW au Maroc,224999.5,,5,,Rabat,Manuelle,8 CV,67000.0
Santa Fe,Très bon,2009,Hyundai,,224999.5,,5,,El Jadida,Automatique,9 CV,98000.0
301,Excellent,2017,Peugeot,WW au Maroc,97499.5,Oui,5,Diesel,Rabat,Manuelle,,102000.0
Ducato,Bon,2013,Fiat,,164999.5,,5,Diesel,Ksar el-Kebir,Manuelle,,115000.0
Jetta,Excellent,2019,Volkswagen,Importée neuve,77499.5,Non,5,Diesel,Agadir,Automatique,,185000.0
Range Rover Sport,Très bon,2014,Land Rover,WW au Maroc,144999.5,Non,5,Diesel,Casablanca,Automatique,,350000.0
GOLF 5,Très bon,2007,Volkswagen,Dédouanée,2499.5,Non,5,Diesel,Tanger,Manuelle,,70000.0
220,Très bon,1995,Mercedes-Benz,Dédouanée,424999.5,Non,5,Diesel,Casablanca,Manuelle,,62000.0
Q5,Correct,2013,Audi,WW au Maroc,274999.5,Non,5,,Marrakech,Manuelle,8 CV,195000.0
i 30,Excellent,2021,Hyundai,WW au Maroc,22499.5,Non,5,Diesel,Temara,Manuelle,,200000.0
Polo,Excellent,2008,Volkswagen,WW au Maroc,47499.5,Non,5,Essence,Casablanca,,8 CV,70000.0
208,Excellent,2019,Peugeot,WW au Maroc,104999.5,Oui,5,,Salé,Manuelle,6 CV,124000.0
309,Très bon,1987,Peugeot,Dédouanée,2499.5,Non,5,Diesel,Mohammedia,Manuelle,,25000.0
Polo,Très bon,2014,Volkswagen,WW au Maroc,134999.5,Non,5,,Rabat,Manuelle,6 CV,102000.0
Picanto,Excellent,2010,Kia,WW au Maroc,87499.5,Oui,5,Essence,Kénitra,,6 CV,63000.0
323,Très bon,1998,Mazda,Dédouanée,194999.5,,5,,Casablanca,Manuelle,8 CV,24000.0
Focus,Excellent,2012,Ford,,174999.5,Non,5,Diesel,Casablanca,,6 CV,112000.0
GOLF 7,Excellent,2017,Volkswagen,Dédouanée,114999.5,Non,5,Diesel,Taza,,6 CV,170000.0
Siena,,2002,Fiat,,124999.5,,,Diesel,Larache,nan,,30000.0
308,Très bon,2019,Peugeot,WW au Maroc,104999.5,Oui,5,,Fès,Manuelle,6 CV,166000.0
Punto,6,2013,Fiat,WW au Maroc,82499.5,Non,5,Diesel,Taza,,5 CV,82000.0
Serie 5,Excellent,2015,BMW,WW au Maroc,154999.5,Non,5,,Casablanca,Automatique,8 CV,220000.0
Serie 5,Très bon,2011,BMW,WW au Maroc,224999.5,,5,Diesel,Casablanca,Automatique,,150000.0
Grand Cherokee,Très bon,2016,Jeep,WW au Maroc,72499.5,Oui,5,Diesel,Marrakech,Automatique,,250000.0
Partner,,2007,Peugeot,,174999.5,,,Diesel,Agadir,nan,,57000.0
Q3,Très bon,2016,Audi,WW au Maroc,124999.5,,5,,Casablanca,Automatique,8 CV,223000.0
19,Bon,1995,Renault,Dédouanée,42499.5,,5,,Fès,Manuelle,7 CV,39000.0
Bipper,Très bon,2011,Peugeot,Importée neuve,224999.5,Non,5,Diesel,Salé,Manuelle,,59000.0
Micra,Très bon,2019,Nissan,WW au Maroc,92499.5,Non,5,,Marrakech,Manuelle,6 CV,120000.0
Maruti,Bon,2007,Suzuki,Dédouanée,57499.5,Oui,5,Essence,Casablanca,Manuelle,,25000.0
220,6,2004,Mercedes-Benz,Dédouanée,224999.5,Oui,5,Diesel,Marrakech,nan,,750000.0
208,6,2021,Peugeot,WW au Maroc,27499.5,Non,5,,Rabat,Manuelle,6 CV,165000.0
Logan,Très bon,2010,Dacia,WW au Maroc,224999.5,Non,5,Diesel,Tétouan,Manuelle,,54000.0
Cruze,Excellent,2011,Chevrolet,,154999.5,Non,5,Essence,Casablanca,Automatique,,77000.0
Accent,Bon,2010,Hyundai,WW au Maroc,2499.5,Non,5,,Béni Mellal,Manuelle,8 CV,50000.0
FIORINO,Excellent,2021,Fiat,WW au Maroc,27499.5,Oui,5,Diesel,Agadir,Manuelle,,128000.0
Carry,Bon,1989,Suzuki,WW au Maroc,2499.5,Non,5,Diesel,Sidi El Abed,,10 CV,34000.0
Clio,Très bon,2019,Renault,WW au Maroc,114999.5,Oui,5,Diesel,Casablanca,,6 CV,115000.0
Captiva,Excellent,2014,Chevrolet,WW au Maroc,154999.5,Non,5,Diesel,Rabat,Automatique,,115000.0
Accord,Très bon,2011,Honda,,224999.5,Non,5,Diesel,Agadir,Manuelle,,112000.0
